subject,group,trial,error
EC_004,EC,82,1.5081249981
EC_004,EC,83,3.6512499954
EC_004,EC,84,0.8731249989000001
EC_004,EC,85,-0.8731249989000001
EC_004,EC,86,0.2381249997
EC_004,EC,87,-0.7143749991
EC_004,EC,88,0.9789583321
EC_004,EC,89,2.7781249965000003
EC_004,EC,90,0.9789583321
EC_004,EC,91,2.5664583301
EC_004,EC,92,3.0427083295
EC_004,EC,93,2.0372916641
EC_004,EC,94,0.5027083327
EC_004,EC,95,-2.3812499970000003
EC_004,EC,96,-0.0793749999
EC_004,EC,97,0.3968749995
EC_004,EC,98,4.2597916613
EC_004,EC,99,1.587499998
EC_004,EC,100,-0.3439583329
EC_005,EC,1,11.8533333184
EC_005,EC,2,13.493749983
EC_005,EC,3,7.408333324
EC_005,EC,4,11.1389583193
EC_005,EC,5,5.0535416603000005
EC_005,EC,6,6.5881249917
EC_005,EC,7,9.6572916545
EC_005,EC,8,5.556249993000001
EC_005,EC,9,7.9904166566
EC_005,EC,10,4.0481249949
EC_005,EC,11,7.1702083243
EC_005,EC,12,6.9849999912000005
EC_005,EC,13,5.9531249925
EC_005,EC,14,5.3445833266000005
EC_005,EC,15,5.6091666596000005
EC_005,EC,16,7.8581249901
EC_005,EC,17,4.206874994700001
EC_005,EC,18,5.027083327000001
EC_005,EC,19,3.9952083283
EC_005,EC,20,3.3072916625
EC_005,EC,21,2.0372916641
EC_005,EC,22,2.8574999964
EC_005,EC,23,4.6037499942
EC_005,EC,24,5.9002083259
EC_005,EC,25,3.704166662
EC_005,EC,26,2.7516666632
EC_005,EC,27,3.174999996
EC_005,EC,28,2.6987499966
EC_005,EC,29,1.2170833318
EC_005,EC,30,3.5454166622
EC_005,EC,31,0.2910416663
EC_005,EC,32,2.8839583297
EC_005,EC,33,1.5345833314
EC_005,EC,34,2.2224999972
EC_005,EC,35,3.2014583293000003
EC_005,EC,36,1.2699999984
EC_005,EC,37,2.8310416631
EC_005,EC,38,5.1329166602
EC_005,EC,39,1.3758333316
EC_005,EC,40,1.1112499986
EC_005,EC,41,2.4077083303
EC_005,EC,42,3.968749995
EC_005,EC,43,5.2122916601
EC_005,EC,44,2.8574999964
EC_005,EC,45,2.5399999968
EC_005,EC,46,5.556249993000001
EC_005,EC,47,3.1485416627
EC_005,EC,48,2.1960416639
EC_005,EC,49,-1.9314583309
EC_005,EC,50,2.5399999968
EC_005,EC,51,2.5135416635000003
EC_005,EC,52,0.5291666660000001
EC_005,EC,53,3.439583329
EC_005,EC,54,4.0745833282
EC_005,EC,55,1.8256249977
EC_005,EC,56,2.910416663
EC_005,EC,57,1.4022916649
EC_005,EC,58,2.4077083303
EC_005,EC,59,4.7095833274
EC_005,EC,60,3.8099999952
EC_005,EC,61,2.2224999972
EC_005,EC,62,4.0745833282
EC_005,EC,63,0.8466666656
EC_005,EC,64,1.4552083315
EC_005,EC,65,3.8099999952
EC_005,EC,66,3.5454166622
EC_005,EC,67,-0.4762499994
EC_005,EC,68,1.8256249977
EC_005,EC,69,1.9314583309
EC_005,EC,70,1.6933333312
EC_005,EC,71,3.0162499962
EC_005,EC,72,4.3127083279
