true_model,sim,waic_m3,waic_m2,delta_waic,winner
M2,75,35007.216785266064,34883.44151088236,123.77527438370453,M2
M2,76,35074.00014991225,34977.629438887474,96.37071102477785,M2
M2,77,35198.84992286113,35143.26614988943,55.583772971702274,M2
M2,78,35356.699969954345,35272.43853325669,84.26143669765588,M2
M2,79,35267.54895055402,35197.18571099091,70.36323956310662,M2
M2,80,35292.30495052189,35202.271857648964,90.03309287292359,M2
M2,81,34949.02489097822,34864.28477975146,84.74011122675438,M2
M2,82,35258.44611367408,35172.02976080929,86.4163528647914,M2
M2,83,35211.343699049634,35125.33512391468,86.0085751349543,M2
M2,84,35302.76155106023,35212.73837204009,90.02317902014329,M2
M2,85,35415.49764826675,35365.91342396091,49.58422430583596,M2
M2,86,35274.577548008034,35191.32728771965,83.25026028838329,M2
M2,87,35293.9441109786,35200.75911587102,93.18499510757829,M2
M2,88,35542.534172295986,35451.75344690659,90.78072538939887,M2
M2,89,35516.78695516185,35423.9252626415,92.86169252035324,M2
M2,90,35596.67433915732,35495.273065720576,101.40127343674249,M2
M2,91,35318.000896547615,35224.094800644365,93.90609590325039,M2
M2,92,35319.11489804355,35242.7094517092,76.40544633434911,M2
M2,93,35274.73990966794,35180.264439085855,94.47547058208147,M2
M2,94,35135.04142481417,35060.316798058346,74.7246267558221,M2
M2,95,35509.78314715035,35421.21699672718,88.56615042317571,M2
M2,96,35242.34534526511,35123.848023006576,118.49732225853222,M2
M2,97,35781.129126111206,35711.4100273498,69.71909876140853,M2
M2,98,35282.82633157383,35167.021339776016,115.80499179781327,M2
M2,99,35324.48631960125,35250.732784131076,73.75353547017585,M2
