sim,group,true_beta_state,rec_beta_state,true_beta_obs,rec_beta_obs,true_r_sensory_base,rec_r_obs_base,waic
57,EO+,0.6303344133170866,0.5293580852768235,-0.3133713143507479,-0.15007811209899585,2.0032162245216885,5.406262772245943,35429.81911341899
57,EO-,0.4878683334374588,0.13552338817760926,0.025687869087104524,0.21300628520787834,2.0746228203629933,4.928289527960668,35429.81911341899
58,EC,1.0578332393954444,0.9267797146169117,-1.6701540982944962,-1.0519717114832319,1.5506177089423798,6.663149999084803,35541.70531636809
58,EO+,0.2851836892488941,0.11658450590750975,-0.19517053458837047,-0.35694768316235415,2.0032162245216885,5.797062893888891,35541.70531636809
58,EO-,0.18465204774125726,-0.4963456729911132,0.08258963072977492,0.38102752075765295,2.0746228203629933,4.798537800594663,35541.70531636809
59,EC,1.3030727622064509,1.2896229171306883,-1.922479797138293,-1.1240454569489982,1.5506177089423798,6.003469141490971,35488.66564342888
59,EO+,0.5740884935444489,0.408557562280645,-0.426455468227966,-0.3146771475098598,2.0032162245216885,5.153747262988511,35488.66564342888
59,EO-,0.4711386382679719,0.5638805078315123,-0.025317431603962513,0.06376172009404482,2.0746228203629933,5.3037167956346885,35488.66564342888
60,EC,1.110905770825334,1.0853065480458766,-1.7579875959696456,-1.1754122355972578,1.5506177089423798,5.994066479169554,35442.25776755028
60,EO+,0.6724337839840031,0.642707544129443,-0.5401604836677713,-0.3250574351382467,2.0032162245216885,5.279910454151131,35442.25776755028
60,EO-,0.3228614897777235,-0.13147707263340225,0.05271524272474073,0.19282056958873223,2.0746228203629933,5.30812870765912,35442.25776755028
61,EC,1.0294309808402111,1.2323548691222475,-1.5601348235055053,-1.2465365801812935,1.5506177089423798,4.928058459386362,35454.165986321605
61,EO+,0.38621720679478705,0.20478090146253286,-0.3147695121027492,-0.3276414115154361,2.0032162245216885,5.718381516000426,35454.165986321605
61,EO-,0.4276482716496648,0.48223878585159863,0.048135031547265734,-0.08199664236999435,2.0746228203629933,5.942208642552591,35454.165986321605
62,EC,1.09082188311987,1.2623311506057475,-1.7396790753586697,-1.1791473467649194,1.5506177089423798,5.080614303204081,35622.18813810898
62,EO+,0.6156121546934246,0.7191071955950976,-0.47397870173164863,-0.5412912779000333,2.0032162245216885,5.773987280318777,35622.18813810898
62,EO-,0.44108803786723433,-0.36364224434591186,0.1285537405616266,0.24834127208617993,2.0746228203629933,5.942881939936798,35622.18813810898
63,EC,1.223219407634014,1.4359214798583344,-1.8768411144903179,-1.2623740995757604,1.5506177089423798,5.629173197030173,35619.92102840419
63,EO+,0.29377746306663804,0.17745591966864044,-0.06928682328266138,-0.14123638219818097,2.0032162245216885,5.398408943978623,35619.92102840419
63,EO-,0.9157970802891962,1.1256868825244728,-0.2920799607207832,-0.39007687034337724,2.0746228203629933,5.340189729164751,35619.92102840419
64,EC,0.9143890695932185,1.0877468425729517,-1.4143141124922065,-0.9587018963936479,1.5506177089423798,5.589837771398663,35747.46260456783
64,EO+,0.7686798033299104,0.661557131269012,-0.2489672373045538,-0.1915444338869962,2.0032162245216885,5.731473533047591,35747.46260456783
64,EO-,0.511526379065606,0.11031931315355135,0.20614116783445688,0.34848559248834776,2.0746228203629933,5.583401432810637,35747.46260456783
65,EC,0.9190058408476568,0.8916736850414346,-1.517056069244243,-0.8213920639864299,1.5506177089423798,6.303051242722743,35560.17754357973
65,EO+,0.9319966249243182,0.8639609007445285,-0.8745028479999801,-0.6227441012471535,2.0032162245216885,5.482249778422038,35560.17754357973
65,EO-,0.4384237138583946,0.8615158320342393,0.018885998261252465,-0.4712973855434005,2.0746228203629933,5.117494554308606,35560.17754357973
66,EC,0.9844761583371621,1.1432268874152351,-1.487572527695307,-0.9154316221760572,1.5506177089423798,4.98614740486282,35577.00726446565
