sim,group,true_beta_state,rec_beta_state,true_beta_obs,rec_beta_obs,true_r_sensory_base,rec_r_obs_base,waic
30,EO+,0.5654721142905268,0.5816576536788487,-0.3363145883152759,-0.5056421162655084,2.0032162245216885,5.978676322695286,35803.98715221923
30,EO-,0.6149711481169841,0.6783402164621576,-0.04566372191623546,-0.20408194678526886,2.0746228203629933,6.029997718737514,35803.98715221923
31,EC,1.190053024807825,1.1787208752760434,-1.8824314664298698,-1.0432910941037123,1.5506177089423798,5.969893287376882,35788.06407214409
31,EO+,0.7460689632061143,0.7608140154042227,-0.37024320347894224,-0.197202125011986,2.0032162245216885,5.36180822937495,35788.06407214409
31,EO-,0.26512204622179664,-0.28838449285066703,0.3068847176416146,0.3860439287713513,2.0746228203629933,5.533299939545627,35788.06407214409
32,EC,1.1158347416762424,1.2328685666305383,-1.530930403467224,-1.1574578150609551,1.5506177089423798,5.832638861091976,35532.45870964401
32,EO+,0.9526277941013497,0.7622294492859933,-0.7760828726204337,-0.39174611221944594,2.0032162245216885,5.688312965384469,35532.45870964401
32,EO-,0.5498573320506731,-0.6700563820540191,-0.009705927308987287,0.4494371362995087,2.0746228203629933,4.581301733104012,35532.45870964401
33,EC,1.109786511960831,1.110093842563788,-1.68883234728488,-1.1193938255533227,1.5506177089423798,5.591241560140489,35616.626682736365
33,EO+,0.8478586963072615,0.8550296395627284,-0.706354735952611,-0.49815131311818495,2.0032162245216885,5.718321586972271,35616.626682736365
33,EO-,0.20035336497954787,-0.2055262325919568,0.2152582692110601,0.2329785359995586,2.0746228203629933,5.590749635847493,35616.626682736365
34,EC,1.2333648629329061,1.1682029703985273,-2.166879382568091,-1.1145546111074105,1.5506177089423798,5.322448889545735,35336.3563774871
34,EO+,0.5993144065842685,0.28168421895147827,-0.36599542985318584,-0.31415805720917866,2.0032162245216885,5.147593800278785,35336.3563774871
34,EO-,0.4963193517183467,-0.28931554039317936,0.11179729234398725,0.35354958636775957,2.0746228203629933,5.5032839201929145,35336.3563774871
35,EC,1.0453337431789032,0.8108868206394462,-1.607772757054159,-0.8058745597960021,1.5506177089423798,6.100912050253569,35411.84367233496
35,EO+,0.505103591136133,0.5487443231644016,-0.5833706057386994,-0.7739552084652637,2.0032162245216885,5.70246345086051,35411.84367233496
35,EO-,0.5379886401102837,-0.590725243438964,0.08643004377364549,0.4252641219296431,2.0746228203629933,4.7939410202192825,35411.84367233496
36,EC,1.178654056729826,1.1934813115498613,-1.7825609962411229,-1.084077975645211,1.5506177089423798,5.7563975250684845,35451.88874686939
36,EO+,0.648781664133877,0.05466299127204362,-0.4865948516526816,-0.37816465218236495,2.0032162245216885,5.69225671592799,35451.88874686939
36,EO-,0.41377232675527914,-0.4245540874086822,0.24313555200319525,0.512856245204164,2.0746228203629933,4.897234121445004,35451.88874686939
37,EC,1.2306581380724544,1.3794714335059444,-1.6311188359191713,-1.141648881142655,1.5506177089423798,5.811789728252139,35874.17788634046
37,EO+,0.6547311931154023,0.42065666703910426,-0.5164373212584346,-0.21008121220579068,2.0032162245216885,5.292831365163413,35874.17788634046
37,EO-,0.41921344421930834,-0.12910331862175947,0.1914212071240663,0.2177315932150365,2.0746228203629933,6.338014688705474,35874.17788634046
38,EC,0.9959587167364157,1.0910073471954653,-1.4689766615310198,-1.0654339688356096,1.5506177089423798,6.0479877595617015,35633.25693107454
38,EO+,0.40046982714812285,0.15403368239337942,-0.37937843263622334,-0.2753580806370269,2.0032162245216885,5.993008027734694,35633.25693107454
38,EO-,0.2609820620563212,-0.7056986560423995,0.2616575199591622,0.5064011014132199,2.0746228203629933,4.744190041733701,35633.25693107454
39,EC,0.7647638864667399,0.9393067944051974,-1.187294521597182,-0.9120383282310817,1.5506177089423798,5.7073176277405215,35274.708811340264
39,EO+,0.826420612381302,0.9500657474869315,-0.7414518750013838,-0.8375706671919666,2.0032162245216885,5.615037922686288,35274.708811340264
