ID,group,precision_pre,log_precision_pre,precision_post1,log_precision_post1,delta_pi,delta_log_pi,openloop_var_post1,openloop_sd_post1,openloop_mean_post1,visual_var_post1,visual_sd_post1,visual_mean_post1
EC_026,EC,1.0224440942307667,0.022195931871123988,1.0090937819583317,0.009052682501599327,-0.013350312272434994,-0.01314324936952466,0.8662929388562103,0.9307485905743883,0.14684374981499998,0.23782807810445186,0.4876762021100188,0.08995833322000005
EO+_001,EO+,0.6035203916598929,-0.5049754500180491,0.6418610993684496,-0.44338335482444874,0.03834070770855669,0.06159209519360037,0.7270686662591841,0.8526832156546674,0.28839583297000004,0.12295589220154138,0.35065066975772535,-0.17131770811750005
EO+_002,EO+,1.2866123999324854,0.25201271770091255,1.0627558666650754,0.06086540850976895,-0.22385653326741006,-0.1911473091911436,1.0114007172421426,1.005684203536151,0.35123437455750006,0.22013627612690534,0.4691868243321687,0.15147395814249992
EO+_003,EO+,0.48437893902108475,-0.7248877467350294,0.4911958497350777,-0.7109123514213047,0.00681691071399293,0.013975395313724714,3.0260502360707746,1.7395546085336828,1.0100468737275,1.6940866318770462,1.3015708324471036,-0.1647031247925
EO+_004,EO+,0.2659407223208654,-1.3244818434526355,0.41304984910883724,-0.8841869932833681,0.14710912678797183,0.4402948501692674,2.3200115915712796,1.5231584262877187,-0.0747447915725,1.7744053934991428,1.3320680889125536,-0.22224999971999998
EO+_005,EO+,0.5833863713305807,-0.5389055825848716,0.6402690165683265,-0.4458668525578417,0.05688264523774578,0.09303873002702995,1.1605817609812819,1.0773030033288136,0.4173802078074999,0.46878496098049044,0.6846787282956076,-1.22237499846
EO+_006,EO+,0.34982380541544783,-1.050325664352314,0.648261876691128,-0.43346053357249253,0.2984380712756802,0.6168651307798214,1.613788512560364,1.2703497599324227,-0.059531249924999995,0.295877830896219,0.5439465331227132,-0.34131249957
EO+_007,EO+,0.7012434778568979,-0.35490012292730966,0.8202950656702818,-0.19809116726608061,0.11905158781338387,0.15680895566122904,0.6474822577335326,0.8046628223880687,1.0007864570725,0.22709946423814414,0.47654954017199946,-0.49080208271500014
EO+_008,EO+,0.33707674877984145,-1.0874446333723895,0.40154873660739693,-0.9124263666422507,0.06447198782755548,0.17501826673013876,8.039096930392825,2.8353301272325986,2.3726510386775,2.9909156860179658,1.7294264037587623,-0.40481249949000003
EO+_009,EO+,0.4463508225202028,-0.8066500385888822,0.4979295170065202,-0.6972967440895204,0.05157869448631741,0.10935329449936182,1.8373047418260104,1.355472147196692,0.9571302071274997,1.6520553080869405,1.2853230364725206,-1.9479947892125
EO+_010,EO+,0.7585197792828424,-0.2763864036939373,0.5113337209233111,-0.6707328277246798,-0.24718605835953134,-0.3943464240307425,1.4641156434574352,1.2100064642213426,-0.3082395829450001,0.4117220001366911,0.6416556710079723,-0.7838281240125002
EO+_011,EO+,0.8984226887778117,-0.10711462122651674,1.113524019300727,0.10752977847565402,0.21510133052291525,0.21464439970217075,0.7259337882071559,0.8520174811628902,-0.5523177076374999,0.16667494883216838,0.40825843387757266,-0.8043333323199999
EO+_012,EO+,0.5604543683127853,-0.579007452250136,0.4342780804668134,-0.8340702116641447,-0.1261762878459719,-0.2550627594140088,1.1773181832147526,1.0850429407238926,1.2600781234125005,1.0761098572589394,1.037357150290554,-0.47691145773250004
EO+_013,EO+,0.6041793224533869,-0.5038842336317587,0.6483288303842619,-0.4333572570445519,0.04414950793087502,0.0705269765872068,0.9107654396344671,0.9543403164670698,0.760677082375,0.23267288670006245,0.48236177989146534,0.01852083331
EO+_014,EO+,0.9337177797933246,-0.06858104937589968,0.951490775784513,-0.04972528668649919,0.017772995991188423,0.018855762689400486,0.838587375023776,0.915744164613554,0.36247916620999987,0.27829013793728474,0.5275321202896415,-0.5602552076274999
EO+_015,EO+,1.02549538523908,0.02517579850952472,0.8283106982890472,-0.18836695550207833,-0.19718468695003277,-0.21354275401160305,0.9400501398311116,0.9695618287820079,0.7150364574325001,0.1679884277006092,0.40986391363550073,-0.5840677075975
EO+_016,EO+,0.12803709449314055,-2.055435256318979,0.8362933522281359,-0.17877582765394892,0.7082562577349953,1.8766594286650302,0.649884393839704,0.8061540757446457,0.27516666632,0.16724036850221807,0.408950325225715,-0.37438541619500004
EO+_017,EO+,0.5480442123916209,-0.6013993157417876,0.43246775655585507,-0.8382475067052325,-0.11557645583576587,-0.2368481909634449,0.7108738801699594,0.8431333703335193,0.43986979111250013,0.37619075882330727,0.6133439156161145,-0.596635415915
EO+_018,EO+,0.3535211447164677,-1.0398119801119767,0.6597059498707527,-0.4159610737387268,0.30618480515428503,0.6238509063732499,0.6626857644170906,0.8140551359810284,0.10781770819749999,0.5066658351449695,0.7118046327082801,-0.30890104127749995
EO+_019,EO+,0.9319013206679042,-0.07052834901382546,1.1362050392630705,0.12769379632122344,0.20430371859516627,0.1982221453350489,0.9212817967516213,0.9598342548334172,0.3869531245124999,0.24072114208287274,0.49063340905697883,0.0972343748775
